Member_number,itemDescription,Date
2452,beef,11/8/2015
2829,beef,19-12-2015
3926,canned beer,20-08-2015
3960,canned beer,21-10-2015
3980,rolls/buns,16-09-2015
1116,other vegetables,29-01-2015
2663,sausage,21-10-2015
2164,rolls/buns,24-11-2015
3950,yogurt,12/5/2015
1252,pork,13-04-2015
4804,tropical fruit,27-12-2015
4041,rolls/buns,7/9/2015
1894,hamburger meat,4/8/2015
4977,pip fruit,20-08-2015
2171,whole milk,3/9/2015
3417,pastry,15-12-2015
1175,whole milk,10/6/2015
4946,sausage,17-02-2015
4662,canned beer,27-06-2015
2869,beef,10/12/2015
4053,canned beer,22-03-2015
4574,frankfurter,30-11-2015
1110,pastry,15-11-2015
4700,sausage,4/3/2015
2565,tropical fruit,29-04-2015
2468,whole milk,13-03-2015
4836,sausage,13-11-2015
3504,root vegetables,22-09-2015
1333,frozen meals,3/4/2015
4039,other vegetables,27-12-2015
2077,chicken,15-05-2015
3519,bottled water,13-12-2015
2989,whole milk,30-01-2015
3737,whole milk,5/5/2015
3558,frankfurter,19-09-2015
3036,beef,13-07-2015
3180,sausage,3/7/2015
2978,sausage,9/5/2015
3985,candy,23-10-2015
4903,sausage,8/12/2015
2835,citrus fruit,9/10/2015
3783,sausage,22-06-2015
1486,other vegetables,14-12-2015
4589,sausage,8/10/2015
1132,other vegetables,19-02-2015
4827,canned beer,27-11-2015
3361,detergent,28-06-2015
4681,citrus fruit,11/9/2015
4197,beef,26-10-2015
3701,other vegetables,22-01-2015
4195,bottled beer,1/10/2015
3429,other vegetables,1/4/2015
2430,fruit/vegetable juice,20-01-2015
4330,misc. beverages,8/4/2015
1783,tropical fruit,18-03-2015
4025,pip fruit,4/11/2015
3399,sausage,19-07-2015
4766,root vegetables,3/1/2015
3562,zwieback,13-08-2015
2447,chicken,21-01-2015
1396,tropical fruit,22-07-2015
4633,tropical fruit,26-04-2015
4695,root vegetables,5/1/2015
1706,canned beer,14-08-2015
3872,beef,23-11-2015
1444,hamburger meat,14-10-2015
4753,other vegetables,8/11/2015
4580,liquor (appetizer),29-11-2015
2516,pip fruit,3/4/2015
2415,newspapers,8/8/2015
3925,turkey,25-03-2015
4996,rolls/buns,24-11-2015
4569,sausage,27-07-2015
3509,beef,11/4/2015
2252,whole milk,8/10/2015
1634,whole milk,9/2/2015
4112,pip fruit,27-04-2015
4042,meat,8/8/2015
4473,hamburger meat,26-06-2015
3878,photo/film,30-04-2015
2266,other vegetables,30-09-2015
3304,root vegetables,30-11-2015
3757,other vegetables,4/2/2015
3440,citrus fruit,21-12-2015
4328,beef,4/2/2015
3737,frankfurter,6/12/2015
3948,ham,15-06-2015
3682,soda,5/3/2015
2827,bottled beer,31-10-2015
2650,soda,5/10/2015
1360,turkey,16-12-2015
3679,pork,23-12-2015
4137,citrus fruit,7/3/2015
4235,grapes,19-12-2015
3193,other vegetables,31-01-2015
1332,root vegetables,2/12/2015
4821,tropical fruit,28-11-2015
1837,rolls/buns,9/7/2015
3665,citrus fruit,23-09-2015
2659,yogurt,8/5/2015
1322,chicken,9/1/2015
1599,tropical fruit,29-05-2015
2933,tropical fruit,6/4/2015
3963,other vegetables,21-02-2015
4178,margarine,3/6/2015
1052,pork,27-10-2015
4693,frankfurter,18-08-2015
1329,ham,2/2/2015
3128,cream cheese ,13-06-2015
1175,bottled water,30-06-2015
2211,canned beer,31-03-2015
2093,frozen potato products,12/6/2015
4284,pip fruit,14-10-2015
4449,citrus fruit,30-03-2015
4269,frankfurter,1/4/2015
1962,other vegetables,5/4/2015
2250,chicken,4/10/2015
1743,pip fruit,13-11-2015
1583,frankfurter,28-07-2015
4295,frozen meals,26-10-2015
1183,root vegetables,29-06-2015
2729,beef,21-03-2015
4035,sausage,3/8/2015
1608,whole milk,6/8/2015
1793,beef,3/7/2015
2210,pork,9/7/2015
1885,artif. sweetener,3/7/2015
1078,frankfurter,28-10-2015
1016,rolls/buns,30-09-2015
3077,canned beer,29-05-2015
3551,mayonnaise,1/5/2015
1158,rolls/buns,17-10-2015
2443,sausage,20-06-2015
1395,hard cheese,15-01-2015
2454,frankfurter,10/11/2015
3472,frankfurter,30-04-2015
3547,bottled water,28-11-2015
1038,sausage,21-02-2015
3915,whole milk,11/9/2015
2719,citrus fruit,19-04-2015
2234,pork,23-12-2015
1565,condensed milk,14-12-2015
1328,sausage,24-03-2015
3398,brown bread,18-01-2015
3687,whole milk,12/2/2015
1572,frankfurter,23-05-2015
3460,domestic eggs,24-11-2015
2352,sausage,5/5/2015
4816,other vegetables,31-07-2015
1152,pork,19-07-2015
1120,other vegetables,11/6/2015
4258,frankfurter,18-07-2015
4336,beef,10/9/2015
1395,pork,25-08-2015
3581,white bread,24-09-2015
1762,dessert,1/7/2015
2659,pip fruit,8/12/2015
4120,sausage,17-01-2015
2420,frankfurter,8/3/2015
2816,chicken,30-09-2015
1711,chicken,26-02-2015
2884,other vegetables,28-12-2015
4153,house keeping products,13-06-2015
2184,pork,11/5/2015
4381,bathroom cleaner,30-09-2015
2920,beverages,27-03-2015
3967,butter,21-01-2015
3135,sausage,13-03-2015
3459,canned beer,5/8/2015
2868,salt,9/1/2015
2989,beef,6/1/2015
1440,shopping bags,6/9/2015
2796,curd,19-05-2015
1074,fruit/vegetable juice,16-10-2015
2565,sausage,28-09-2015
1197,sausage,16-01-2015
1971,sausage,16-08-2015
3327,grapes,26-03-2015
1168,frankfurter,6/3/2015
2814,berries,18-09-2015
3298,citrus fruit,26-05-2015
3728,canned beer,12/11/2015
2116,canned beer,29-08-2015
1139,tropical fruit,19-01-2015
2463,whole milk,26-12-2015
2978,whole milk,27-06-2015
4525,other vegetables,7/10/2015
1213,citrus fruit,14-09-2015
4332,pork,24-11-2015
1729,beef,15-12-2015
1695,meat,4/2/2015
3503,canned beer,29-11-2015
3686,whole milk,6/1/2015
4264,curd cheese,11/5/2015
1545,citrus fruit,28-02-2015
3195,cooking chocolate,8/7/2015
1409,whole milk,17-02-2015
2800,sugar,21-06-2015
4453,chicken,27-07-2015
4820,citrus fruit,18-01-2015
3716,sausage,8/10/2015
3270,whole milk,15-05-2015
3410,whole milk,16-01-2015
3651,rolls/buns,16-10-2015
2049,pork,6/1/2015
3507,root vegetables,27-08-2015
3184,citrus fruit,20-11-2015
2648,citrus fruit,29-01-2015
1566,whole milk,24-02-2015
4105,pork,5/2/2015
3537,citrus fruit,25-01-2015
2300,frankfurter,5/8/2015
3794,citrus fruit,4/1/2015
3756,sausage,11/7/2015
4197,chicken,6/2/2015
4661,other vegetables,10/5/2015
3738,onions,30-12-2015
4567,hamburger meat,2/10/2015
2831,frankfurter,6/1/2015
4841,canned beer,9/6/2015
1776,bottled water,15-04-2015
1364,soda,31-07-2015
1926,turkey,16-10-2015
3496,rolls/buns,22-09-2015
1498,frozen vegetables,28-10-2015
4436,other vegetables,23-12-2015
4098,pork,6/2/2015
4707,soda,11/2/2015
4358,turkey,11/6/2015
3290,sausage,29-05-2015
1940,whole milk,4/6/2015
3363,newspapers,18-08-2015
1782,coffee,1/8/2015
2756,hamburger meat,23-11-2015
4379,turkey,1/10/2015
4686,sausage,8/10/2015
1230,whole milk,6/4/2015
2918,sausage,19-07-2015
4604,other vegetables,9/12/2015
4489,shopping bags,19-11-2015
4408,pork,20-04-2015
1846,pork,28-05-2015
1658,beef,15-06-2015
3046,sausage,9/1/2015
4528,whole milk,13-10-2015
1132,soda,22-09-2015
2386,canned beer,5/12/2015
4741,beef,8/9/2015
3971,frankfurter,19-10-2015
3029,other vegetables,14-02-2015
2758,other vegetables,6/2/2015
3969,root vegetables,5/3/2015
2829,pip fruit,29-10-2015
4573,sausage,23-12-2015
4726,other vegetables,8/7/2015
3929,pork,6/11/2015
1286,meat,10/7/2015
1648,pork,1/5/2015
1544,dessert,25-02-2015
2925,other vegetables,16-03-2015
1276,condensed milk,23-11-2015
1908,ice cream,26-07-2015
2519,chicken,30-05-2015
3096,root vegetables,7/7/2015
1001,frankfurter,2/5/2015
4699,hamburger meat,29-03-2015
1417,UHT-milk,18-09-2015
4034,frankfurter,29-08-2015
4711,pastry,19-06-2015
3584,other vegetables,17-12-2015
2981,onions,3/12/2015
1820,pastry,21-03-2015
3793,citrus fruit,15-04-2015
1965,hamburger meat,4/8/2015
4903,chicken,1/5/2015
1845,whole milk,11/2/2015
2384,chicken,2/1/2015
2584,shopping bags,25-04-2015
1193,citrus fruit,12/11/2015
4267,citrus fruit,6/9/2015
2707,chicken,5/5/2015
3214,bottled beer,8/5/2015
1171,specialty chocolate,15-01-2015
1950,other vegetables,11/11/2015
4737,pork,19-09-2015
3589,whole milk,4/11/2015
2246,beef,29-08-2015
2128,sausage,10/8/2015
3866,root vegetables,21-04-2015
1882,chicken,9/7/2015
2574,turkey,25-08-2015
2011,soda,22-12-2015
4223,root vegetables,20-07-2015
2068,sausage,7/4/2015
3035,pastry,9/5/2015
2597,sausage,8/5/2015
1306,yogurt,8/1/2015
1789,pip fruit,24-04-2015
1003,sausage,10/2/2015
3378,ham,13-01-2015
4460,meat,1/5/2015
1961,other vegetables,21-06-2015
4576,meat,18-06-2015
3061,rolls/buns,10/2/2015
1016,chicken,19-07-2015
3528,sausage,19-05-2015
4566,canned beer,10/3/2015
1979,yogurt,20-11-2015
3662,chicken,3/12/2015
2700,hamburger meat,13-05-2015
2432,whole milk,12/12/2015
2693,frankfurter,17-08-2015
1456,newspapers,20-11-2015
4081,whole milk,20-10-2015
4588,rolls/buns,30-06-2015
1892,other vegetables,8/3/2015
1922,sausage,7/2/2015
1440,sausage,6/12/2015
1420,canned beer,19-06-2015
2273,tropical fruit,21-10-2015
4910,condensed milk,25-11-2015
4593,margarine,4/8/2015
1380,whole milk,21-11-2015
4035,yogurt,26-07-2015
3063,processed cheese,28-12-2015
2558,grapes,12/8/2015
1744,canned beer,27-06-2015
3162,soda,6/6/2015
3216,whole milk,12/2/2015
4783,sausage,27-01-2015
2592,pork,25-09-2015
3141,pork,19-07-2015
2315,turkey,20-12-2015
3318,other vegetables,12/1/2015
4594,whipped/sour cream,2/5/2015
2428,hard cheese,14-08-2015
4613,pork,17-05-2015
1676,citrus fruit,11/10/2015
1259,sausage,21-11-2015
3930,citrus fruit,12/7/2015
3995,other vegetables,26-06-2015
1038,Instant food products,14-12-2015
4794,sausage,6/9/2015
3960,frankfurter,21-09-2015
3077,chicken,5/1/2015
1161,other vegetables,14-03-2015
1800,chicken,16-04-2015
1717,chicken,9/11/2015
1888,ham,6/6/2015
2138,pip fruit,4/3/2015
1866,sausage,13-02-2015
4745,ham,29-09-2015
1269,other vegetables,12/9/2015
4721,sausage,15-06-2015
2885,tropical fruit,22-03-2015
1435,ham,24-04-2015
1887,tropical fruit,3/2/2015
4776,canned beer,26-03-2015
4313,sugar,16-05-2015
3545,bottled water,28-08-2015
2307,whole milk,12/3/2015
1215,pip fruit,18-01-2015
1428,rolls/buns,18-01-2015
4297,whole milk,27-10-2015
1812,hamburger meat,14-10-2015
2217,soda,2/12/2015
2378,whipped/sour cream,15-04-2015
2397,organic sausage,23-06-2015
3419,onions,20-08-2015
4131,sausage,29-03-2015
2220,sausage,4/8/2015
3870,root vegetables,21-03-2015
1483,root vegetables,14-06-2015
3449,pork,29-11-2015
1959,whole milk,13-12-2015
4825,ham,17-01-2015
3289,frankfurter,2/5/2015
1256,UHT-milk,29-08-2015
3369,frozen vegetables,23-03-2015
2191,pip fruit,25-10-2015
4645,tropical fruit,6/12/2015
3818,meat,8/8/2015
3857,other vegetables,4/11/2015
3651,root vegetables,31-07-2015
3689,liqueur,29-07-2015
2361,soda,3/10/2015
2513,margarine,15-12-2015
2110,frankfurter,29-07-2015
4895,sugar,21-07-2015
2756,sausage,31-07-2015
1960,chicken,9/1/2015
3924,domestic eggs,29-10-2015
3020,condensed milk,27-08-2015
4531,canned beer,10/8/2015
4901,frankfurter,14-02-2015
3787,pork,24-09-2015
3688,whole milk,24-09-2015
4717,tropical fruit,10/4/2015
2210,pork,25-09-2015
4152,root vegetables,29-05-2015
4507,citrus fruit,18-06-2015
1118,house keeping products,13-05-2015
4953,pip fruit,7/5/2015
4417,ham,21-01-2015
2358,waffles,15-12-2015
3122,beverages,5/2/2015
3920,beverages,10/5/2015
4592,citrus fruit,8/12/2015
1326,ice cream,9/11/2015
3729,salty snack,29-11-2015
2627,rolls/buns,31-10-2015
3393,white bread,7/11/2015
4302,tropical fruit,3/8/2015
1734,chocolate,15-02-2015
3635,whole milk,26-02-2015
3232,yogurt,18-12-2015
2805,coffee,18-04-2015
2214,soda,19-01-2015
4725,butter milk,2/12/2015
4975,pork,2/11/2015
3393,condensed milk,23-02-2015
4456,sugar,8/8/2015
4744,frankfurter,29-08-2015
1264,sausage,30-07-2015
3104,bottled water,18-05-2015
4966,sausage,25-01-2015
4183,salty snack,15-01-2015
3786,light bulbs,10/2/2015
3299,onions,28-02-2015
1656,tropical fruit,7/7/2015
4753,soups,5/3/2015
2857,whole milk,18-04-2015
3692,bottled water,18-10-2015
2613,other vegetables,23-08-2015
3509,soda,8/7/2015
3048,frankfurter,6/10/2015
1160,domestic eggs,21-08-2015
2629,curd cheese,26-04-2015
1444,butter,6/6/2015
2578,whole milk,1/12/2015
4184,pastry,28-06-2015
3201,tropical fruit,27-11-2015
3311,misc. beverages,2/5/2015
4294,other vegetables,8/1/2015
2283,root vegetables,18-01-2015
3325,ham,7/11/2015
3621,rolls/buns,2/11/2015
1968,pastry,3/10/2015
3717,fruit/vegetable juice,1/4/2015
4704,chewing gum,18-08-2015
3904,sausage,11/5/2015
2336,other vegetables,7/10/2015
3546,whole milk,22-11-2015
3797,root vegetables,23-08-2015
4607,ice cream,15-12-2015
4522,canned beer,18-05-2015
4695,tropical fruit,13-10-2015
4919,citrus fruit,30-03-2015
3289,specialty chocolate,15-03-2015
1200,candy,26-09-2015
3789,margarine,6/9/2015
1289,other vegetables,8/11/2015
2415,tropical fruit,29-04-2015
1943,tropical fruit,30-09-2015
3685,specialty chocolate,26-08-2015
3447,frankfurter,27-11-2015
2164,misc. beverages,8/10/2015
4107,tropical fruit,5/2/2015
2744,ham,19-05-2015
1051,other vegetables,12/8/2015
2087,tropical fruit,9/4/2015
1020,canned beer,13-10-2015
4546,beef,9/4/2015
1182,hamburger meat,29-11-2015
2727,whole milk,15-12-2015
4314,finished products,29-04-2015
2745,other vegetables,19-02-2015
3147,citrus fruit,20-02-2015
2677,sausage,7/12/2015
2321,sausage,8/4/2015
4708,pork,2/10/2015
3225,berries,12/12/2015
3401,sausage,28-09-2015
3735,berries,27-04-2015
2486,sausage,25-11-2015
4790,pasta,15-08-2015
1730,other vegetables,19-09-2015
4724,sausage,12/2/2015
4951,other vegetables,9/1/2015
1341,frankfurter,30-10-2015
4519,sausage,2/9/2015
2914,UHT-milk,1/4/2015
3916,whole milk,4/10/2015
4145,misc. beverages,11/4/2015
3657,liver loaf,27-01-2015
2546,pet care,7/5/2015
2738,whole milk,3/2/2015
1491,chicken,30-12-2015
3268,dessert,18-04-2015
1820,pork,7/4/2015
1923,beef,6/12/2015
2968,soda,17-10-2015
4970,pet care,8/8/2015
4827,root vegetables,3/10/2015
3474,tropical fruit,7/4/2015
4417,chicken,19-03-2015
3061,soda,5/11/2015
4364,chicken,25-05-2015
2887,tropical fruit,17-01-2015
1292,beverages,24-10-2015
1693,onions,27-12-2015
2267,whole milk,7/1/2015
2663,chicken,10/9/2015
1551,tropical fruit,11/6/2015
3421,citrus fruit,12/5/2015
2785,semi-finished bread,12/7/2015
4326,tropical fruit,2/5/2015
2871,hamburger meat,20-12-2015
4969,sausage,26-05-2015
3463,tropical fruit,24-09-2015
1504,curd,30-11-2015
2528,tropical fruit,19-10-2015
1959,tropical fruit,15-05-2015
2479,whole milk,13-01-2015
4809,zwieback,13-04-2015
4047,cream cheese ,6/3/2015
2781,rolls/buns,11/1/2015
1837,meat,3/1/2015
3288,brown bread,26-04-2015
1152,soda,20-04-2015
1641,UHT-milk,23-06-2015
2685,frankfurter,19-07-2015
3599,meat,8/1/2015
2114,whole milk,6/11/2015
2019,sausage,8/9/2015
4019,herbs,19-03-2015
3663,whole milk,28-06-2015
3170,other vegetables,3/12/2015
3537,brown bread,24-09-2015
3918,whipped/sour cream,22-06-2015
3507,other vegetables,22-07-2015
4453,pork,22-05-2015
2769,flower soil/fertilizer,31-07-2015
4151,whole milk,2/11/2015
2291,grapes,10/4/2015
1677,liver loaf,21-02-2015
1499,rolls/buns,6/3/2015
2274,citrus fruit,5/1/2015
2186,sausage,2/4/2015
4437,pastry,7/8/2015
4856,beverages,3/1/2015
3413,beverages,23-09-2015
4741,other vegetables,25-09-2015
4406,tropical fruit,27-05-2015
2601,beef,30-04-2015
4845,frozen dessert,12/10/2015
3695,soda,9/7/2015
2202,pork,28-02-2015
1027,rolls/buns,25-02-2015
1744,domestic eggs,28-09-2015
4864,whole milk,4/12/2015
3730,candy,27-07-2015
2127,pork,1/1/2015
2672,frankfurter,26-11-2015
1930,ham,2/2/2015
3623,salty snack,7/5/2015
4082,whole milk,1/5/2015
4387,canned beer,26-07-2015
4424,newspapers,22-08-2015
3630,hard cheese,24-07-2015
2202,tropical fruit,28-05-2015
3036,yogurt,18-09-2015
4529,tropical fruit,10/5/2015
1968,whole milk,16-02-2015
1511,ice cream,22-03-2015
1503,bottled beer,17-08-2015
2091,citrus fruit,30-07-2015
1651,hamburger meat,22-02-2015
1553,frozen fish,20-03-2015
4746,frozen vegetables,9/12/2015
2902,tropical fruit,12/6/2015
4205,citrus fruit,29-01-2015
1508,sausage,15-11-2015
2403,whipped/sour cream,1/12/2015
4705,sausage,22-05-2015
1285,yogurt,21-07-2015
4238,pastry,3/12/2015
1938,pork,8/5/2015
3402,curd,23-05-2015
4031,sausage,18-10-2015
1739,sausage,31-05-2015
2104,berries,27-02-2015
4516,root vegetables,7/12/2015
3485,rolls/buns,22-07-2015
4462,domestic eggs,7/6/2015
2544,tidbits,29-01-2015
2805,curd,30-08-2015
2969,hygiene articles,24-08-2015
3563,spread cheese,25-11-2015
2683,berries,18-01-2015
3776,coffee,18-07-2015
1331,other vegetables,29-11-2015
1498,frankfurter,28-05-2015
3890,sausage,11/1/2015
4559,ice cream,7/2/2015
2723,frankfurter,31-01-2015
2925,dessert,11/12/2015
3684,ham,15-02-2015
1770,semi-finished bread,19-11-2015
3661,whole milk,17-06-2015
1044,root vegetables,25-10-2015
3031,beef,25-11-2015
3028,citrus fruit,19-05-2015
3035,citrus fruit,4/3/2015
3189,bottled water,23-11-2015
3766,pork,8/11/2015
4540,frankfurter,4/8/2015
4362,berries,11/7/2015
4355,bottled beer,21-11-2015
1510,ham,25-10-2015
4299,whole milk,14-08-2015
1982,coffee,14-12-2015
3365,chicken,13-08-2015
3653,frankfurter,9/11/2015
1795,beef,3/4/2015
4693,canned beer,24-04-2015
4219,rolls/buns,16-10-2015
3636,whole milk,14-05-2015
1595,pip fruit,11/4/2015
3196,soda,5/5/2015
2657,bottled beer,21-05-2015
4656,frankfurter,14-10-2015
4239,sausage,11/2/2015
1510,other vegetables,21-08-2015
3462,soda,21-01-2015
3794,onions,1/11/2015
1408,root vegetables,1/3/2015
3686,other vegetables,29-08-2015
2273,chewing gum,28-02-2015
4693,fruit/vegetable juice,13-03-2015
2597,pork,13-02-2015
1551,dessert,21-07-2015
2888,flour,8/1/2015
1631,tropical fruit,14-08-2015
3564,pip fruit,4/7/2015
4277,yogurt,25-11-2015
4410,ice cream,12/10/2015
3455,pastry,18-11-2015
2467,whole milk,5/7/2015
2235,citrus fruit,19-01-2015
2145,onions,21-01-2015
3310,berries,8/3/2015
2876,tropical fruit,19-09-2015
3736,bottled water,26-02-2015
3402,whole milk,16-08-2015
1397,UHT-milk,21-12-2015
3497,pork,15-08-2015
3044,pastry,7/6/2015
1296,other vegetables,23-11-2015
3999,frozen meals,16-11-2015
2492,root vegetables,10/11/2015
1572,soda,21-09-2015
4224,chicken,29-01-2015
2352,dessert,31-01-2015
3609,sausage,23-02-2015
4142,other vegetables,17-11-2015
2736,soda,26-12-2015
2517,beef,20-03-2015
4999,berries,18-02-2015
4338,ham,24-03-2015
2215,citrus fruit,26-11-2015
2745,berries,21-04-2015
2861,meat,12/3/2015
3553,coffee,10/5/2015
2993,long life bakery product,5/5/2015
4365,whole milk,20-02-2015
2860,root vegetables,20-12-2015
3760,pork,22-11-2015
2505,yogurt,22-04-2015
1485,soda,12/7/2015
4608,frankfurter,27-04-2015
2873,photo/film,15-07-2015
4848,tropical fruit,7/7/2015
2550,chicken,23-12-2015
2085,soda,22-04-2015
2549,sausage,24-08-2015
1200,citrus fruit,8/8/2015
3463,pastry,9/5/2015
3583,root vegetables,2/8/2015
1276,hard cheese,26-03-2015
2951,curd,22-12-2015
4970,berries,23-07-2015
1492,cat food,20-01-2015
3864,bottled water,26-08-2015
2506,soda,17-11-2015
4285,fruit/vegetable juice,22-04-2015
4822,brown bread,26-02-2015
3588,citrus fruit,15-12-2015
2520,whipped/sour cream,6/12/2015
1088,yogurt,14-01-2015
1486,chicken,23-09-2015
4080,photo/film,3/7/2015
3058,sausage,27-07-2015
3133,tropical fruit,1/12/2015
1731,whole milk,17-08-2015
2436,butter,17-02-2015
3452,citrus fruit,15-05-2015
2761,pork,11/1/2015
1705,frozen fish,28-07-2015
3221,beef,1/4/2015
1384,other vegetables,19-12-2015
4570,chicken,22-08-2015
2506,beverages,27-12-2015
3380,pork,23-04-2015
2765,candy,30-11-2015
4840,whole milk,5/6/2015
1685,other vegetables,18-08-2015
2028,coffee,1/3/2015
1125,sausage,27-08-2015
1054,bottled beer,2/9/2015
4274,soda,23-01-2015
2710,frankfurter,14-10-2015
2699,whipped/sour cream,28-11-2015
1918,tropical fruit,29-09-2015
4936,sausage,2/3/2015
2535,rolls/buns,20-03-2015
4495,other vegetables,24-08-2015
4216,citrus fruit,24-02-2015
1515,pastry,21-09-2015
2604,citrus fruit,26-01-2015
4820,pet care,7/12/2015
2340,butter,28-11-2015
2864,citrus fruit,13-03-2015
1366,whole milk,29-11-2015
3317,pork,29-06-2015
4218,ham,11/1/2015
3958,soda,4/11/2015
1309,tropical fruit,1/4/2015
1394,ham,24-05-2015
4412,sausage,4/5/2015
3649,dishes,21-06-2015
4805,other vegetables,13-10-2015
1599,semi-finished bread,20-04-2015
4321,sausage,12/9/2015
3397,citrus fruit,20-02-2015
3767,bottled beer,6/6/2015
2781,soda,1/6/2015
3750,pastry,17-05-2015
4574,bottled beer,27-11-2015
4180,specialty chocolate,1/4/2015
3897,soda,1/2/2015
4333,misc. beverages,1/7/2015
3796,seasonal products,6/6/2015
2240,citrus fruit,18-05-2015
2967,yogurt,6/2/2015
2581,meat,14-12-2015
1248,frankfurter,15-12-2015
3830,frankfurter,18-10-2015
3976,packaged fruit/vegetables,8/5/2015
1842,root vegetables,23-02-2015
1626,pastry,18-02-2015
4059,frankfurter,5/1/2015
2370,whole milk,12/9/2015
4466,citrus fruit,3/9/2015
2404,beef,10/2/2015
3224,frankfurter,14-03-2015
1478,pork,12/2/2015
2229,sausage,22-12-2015
4418,whipped/sour cream,4/10/2015
3571,coffee,7/7/2015
2234,sausage,27-02-2015
3416,tropical fruit,7/2/2015
3429,pork,29-06-2015
1046,pork,24-06-2015
4498,other vegetables,19-04-2015
2152,chicken,3/9/2015
1425,ham,18-03-2015
3946,root vegetables,19-11-2015
1009,tropical fruit,14-05-2015
2825,soda,25-12-2015
4592,whole milk,22-06-2015
1449,whole milk,27-05-2015
1837,bottled beer,18-06-2015
4322,brown bread,31-10-2015
2039,bottled beer,18-06-2015
3999,dessert,19-05-2015
1183,sausage,4/1/2015
2441,meat,3/7/2015
2739,pip fruit,19-09-2015
3049,beef,5/2/2015
1697,root vegetables,29-05-2015
4109,dessert,24-08-2015
3217,dessert,20-03-2015
4879,other vegetables,12/10/2015
3505,beverages,11/10/2015
4292,frankfurter,26-10-2015
4813,citrus fruit,4/8/2015
1379,pastry,17-04-2015
